TIME,BATT,PM_1,PM_25,PM_10,PN_03,PN_05,PN_1,PN_25,PN_5,PN_10
ISO 8601,%,ug/m3,ug/m3,ug/m3,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l
Time,Battery,PM 1.0,PM 2.5,PM 10.0,PN 0.3,PN 0.5,PN 1.0,PN 2.5,PN 5.0,PN 10.0
2026-05-21T10:25:14Z,90,10,18,25,943,631,138,11,0,0
2026-05-21T10:27:14Z,90,9,14,17,830,601,67,0,0,0
2026-05-21T10:29:14Z,90,9,17,20,814,573,114,0,0,0
2026-05-21T10:31:14Z,90,8,18,20,822,606,151,0,0,0
2026-05-21T10:33:14Z,90,10,15,18,772,589,105,0,0,0
2026-05-21T10:35:14Z,90,11,18,20,879,669,140,0,0,0
2026-05-21T10:37:14Z,90,13,19,21,969,675,158,0,0,0
2026-05-21T10:39:14Z,90,10,19,22,856,624,125,0,0,0
2026-05-21T10:41:14Z,90,8,15,19,832,553,106,0,0,0
2026-05-21T10:43:14Z,90,10,18,21,813,603,96,0,0,0
2026-05-21T10:45:14Z,90,11,18,19,909,670,119,0,0,0
2026-05-21T10:47:14Z,90,10,24,29,796,601,157,17,0,0
2026-05-21T10:49:14Z,90,10,15,15,892,625,70,0,0,0
2026-05-21T10:51:14Z,90,10,20,21,861,647,151,0,0,0
2026-05-21T10:53:14Z,90,12,17,21,925,626,116,0,0,0
2026-05-21T10:55:14Z,90,10,16,19,881,628,115,0,0,0
2026-05-21T10:57:14Z,90,12,20,20,920,713,145,0,0,0
2026-05-21T10:59:14Z,90,9,15,19,793,563,112,0,0,0
2026-05-21T11:01:14Z,90,11,19,24,952,671,145,0,0,0
2026-05-21T11:03:14Z,90,12,22,24,947,709,163,0,0,0
2026-05-21T11:05:14Z,90,9,18,22,803,609,108,0,0,0
2026-05-21T11:07:14Z,90,10,18,21,809,560,137,0,0,0
2026-05-21T11:09:14Z,90,8,14,18,804,537,86,0,0,0
2026-05-21T11:11:14Z,90,12,18,21,963,723,93,0,0,0
2026-05-21T11:13:14Z,90,8,19,21,745,573,115,3,0,0
2026-05-21T11:15:14Z,90,9,15,15,712,518,119,0,0,0
2026-05-21T11:17:14Z,90,8,16,18,797,548,104,4,0,0
2026-05-21T11:19:14Z,90,10,19,21,981,683,154,0,0,0
2026-05-21T11:21:14Z,90,9,17,25,834,590,150,0,0,0
2026-05-21T11:23:14Z,90,11,21,24,915,682,144,3,0,0
2026-05-21T11:25:14Z,90,9,19,21,975,666,131,0,0,0
2026-05-21T11:27:14Z,90,15,22,26,1122,818,114,3,0,0
2026-05-21T11:29:14Z,90,11,20,23,813,647,130,0,0,0
2026-05-21T11:31:14Z,90,13,18,21,1014,696,119,0,0,0
2026-05-21T11:33:14Z,90,13,23,24,1024,780,125,0,0,0
2026-05-21T11:35:14Z,90,12,21,25,1076,714,150,6,0,0
2026-05-21T11:37:14Z,90,11,18,18,1023,667,112,1,0,0
2026-05-21T11:39:14Z,90,14,22,24,1139,792,140,2,0,0
2026-05-21T11:41:14Z,90,16,24,27,1173,864,143,0,0,0
2026-05-21T11:43:14Z,90,12,21,24,868,683,189,3,0,0
2026-05-21T11:45:14Z,90,10,16,21,885,641,129,0,0,0
2026-05-21T11:47:14Z,90,10,16,19,876,611,113,0,0,0
2026-05-21T11:49:14Z,90,9,22,35,888,679,139,3,0,0
2026-05-21T11:51:14Z,90,9,20,22,961,636,158,0,0,0
2026-05-21T11:53:14Z,90,11,17,22,878,644,128,0,0,0
2026-05-21T11:55:14Z,90,13,19,26,915,689,144,1,0,0
2026-05-21T11:57:14Z,90,14,22,25,1084,809,146,0,0,0
2026-05-21T11:59:14Z,90,10,17,18,979,652,102,0,0,0
2026-05-21T12:01:14Z,90,11,19,21,942,674,135,0,0,0
2026-05-21T12:03:14Z,89,13,19,22,1006,747,110,0,0,0
2026-05-21T12:05:14Z,90,13,20,22,1016,742,155,0,0,0
2026-05-21T12:07:14Z,89,16,21,27,1173,878,133,0,0,0
2026-05-21T12:09:14Z,90,14,22,28,1121,835,159,0,0,0
2026-05-21T12:11:14Z,90,13,24,27,992,728,186,0,0,0
2026-05-21T12:13:14Z,90,11,17,21,889,649,134,0,0,0
2026-05-21T12:15:14Z,89,20,26,28,1338,979,177,0,0,0
2026-05-21T12:17:14Z,89,16,22,32,1204,899,181,0,0,0
