recorded_at,battery,pm_1,pm_25,pm_10,pn_03,pn_05,pn_1,pn_25,pn_5,pn_10
2026-05-22T06:29:14Z,75,2,9,12,496,322,78,0,0,0
2026-05-22T06:31:14Z,75,5,10,11,648,407,82,0,0,0
2026-05-22T06:33:14Z,75,4,12,15,603,402,76,0,0,0
2026-05-22T06:35:14Z,75,2,10,15,538,347,85,0,0,0
2026-05-22T06:37:14Z,75,4,11,12,484,370,80,0,0,0
2026-05-22T06:39:14Z,75,3,9,11,489,338,78,0,0,0
2026-05-22T06:41:14Z,75,5,10,14,566,380,84,1,0,0
2026-05-22T06:43:14Z,75,4,12,21,573,412,93,1,0,0
2026-05-22T06:45:14Z,75,5,10,17,648,405,100,0,0,0
2026-05-22T06:47:14Z,75,6,15,21,646,476,95,0,0,0
2026-05-22T06:49:14Z,75,6,10,17,649,437,69,0,0,0
2026-05-22T06:51:14Z,75,5,12,14,561,410,83,0,0,0
2026-05-22T06:53:14Z,75,5,11,13,578,386,81,0,0,0
2026-05-22T06:55:14Z,75,4,13,16,543,381,97,0,0,0
2026-05-22T06:57:14Z,75,7,13,16,607,469,103,0,0,0
2026-05-22T06:59:14Z,75,4,10,12,554,373,79,0,0,0
2026-05-22T07:01:14Z,75,6,11,14,622,390,86,0,0,0
2026-05-22T07:03:14Z,75,5,12,16,629,444,99,0,0,0
2026-05-22T07:05:14Z,75,6,15,18,615,428,105,8,0,0
2026-05-22T07:07:14Z,75,4,11,16,566,421,107,0,0,0
2026-05-22T07:09:14Z,75,6,13,17,659,465,76,0,0,0
2026-05-22T07:11:14Z,75,4,8,12,603,371,67,0,0,0
2026-05-22T07:13:14Z,75,7,13,15,633,480,109,0,0,0
2026-05-22T07:15:14Z,75,7,15,19,753,519,100,0,0,0
2026-05-22T07:17:14Z,75,6,12,24,672,463,92,0,0,0
2026-05-22T07:19:14Z,75,7,13,16,628,423,111,0,0,0
2026-05-22T07:21:14Z,75,5,11,13,591,392,71,0,0,0
2026-05-22T07:23:14Z,75,2,9,10,468,312,69,0,0,0
2026-05-22T07:25:14Z,75,5,10,12,534,365,54,0,0,0
2026-05-22T07:27:14Z,75,7,11,12,693,457,53,0,0,0
2026-05-22T07:29:14Z,75,5,10,16,525,357,76,2,0,0
2026-05-22T07:31:14Z,75,6,12,14,646,427,77,1,0,0
2026-05-22T07:33:14Z,75,3,10,12,535,354,86,0,0,0
2026-05-22T07:35:14Z,74,6,12,14,725,462,100,0,0,0
2026-05-22T07:37:14Z,74,5,12,14,555,435,72,0,0,0
2026-05-22T07:39:14Z,74,6,11,13,604,432,86,0,0,0
2026-05-22T07:41:14Z,74,5,10,12,535,385,78,0,0,0
2026-05-22T07:43:14Z,74,6,11,17,633,467,107,0,0,0
2026-05-22T07:45:14Z,74,6,12,14,678,499,112,0,0,0
2026-05-22T07:47:14Z,74,6,13,17,695,471,126,0,0,0
2026-05-22T07:49:14Z,74,7,13,15,619,485,113,0,0,0
2026-05-22T07:51:14Z,74,6,11,14,614,433,81,0,0,0
2026-05-22T07:53:14Z,74,8,15,17,775,509,109,0,0,0
2026-05-22T07:55:14Z,74,8,14,18,688,519,123,0,0,0
2026-05-22T07:57:14Z,74,5,13,19,701,480,108,0,0,0
2026-05-22T07:59:14Z,74,8,15,18,726,525,122,0,0,0
2026-05-22T08:01:14Z,74,7,13,21,683,529,99,0,0,0
2026-05-22T08:03:14Z,74,6,12,14,653,464,112,0,0,0
2026-05-22T08:05:14Z,74,5,12,14,579,402,96,0,0,0
2026-05-22T08:07:14Z,74,8,16,19,736,561,110,0,0,0
2026-05-22T08:09:14Z,74,7,16,19,631,470,130,0,0,0
2026-05-22T08:11:14Z,74,6,16,18,668,486,108,2,0,0
2026-05-22T08:13:14Z,74,7,14,17,698,503,92,0,0,0
2026-05-22T08:15:14Z,74,4,12,15,567,405,89,11,0,0
